id,created_at,block_number,sandwicher_address,frontrun_swap_transaction_hash,frontrun_swap_trace_address,backrun_swap_transaction_hash,backrun_swap_trace_address,profit_amount
58f536a5-6a66-4681-a807-f1bf5c2ec40d,2022-01-16 22:22:35.621524,14017275.0,0x7cf09d7a9a74f746edcb06949b9d64bcd9d1604f,0x140d6d9d546b2cd53606e936e4cdbd21a4d71f6fc4ed4f0e99ae56fe9e4531a6,[1],0xa327afd8ad04a74562dc36ff464ddc7915b733bbb2e25163c13bdc2e720451a1,[1],5.90946740689961e+16
25b3d901-4299-4ed5-a098-fff10c31fd10,2022-01-16 22:22:35.621524,14017275.0,0x000000000035b5e5ad9019092c665357240f594e,0x95116a6d04c4b9fd53a75ef678c1b281474b42ff0f15d57990c62856f68d6769,[1],0xd49b298283e9de63a423075ee44d5d1698f420c39a644088454d7262a413ad13,[1],1.921444772105384e+16
c1f910de-8da9-48d4-802b-6761796aaf2e,2022-01-16 22:22:51.971674,14017276.0,0x00000000008c4fb1c916e0c88fd4cc402d935e7d,0x5c8b578f7495d748cbe24ffa1041cac827312f94c6a792e5fb210ce2df4c24ed,[2],0x1e96edc50b1ac41f790d99838d52d0c054dfebea6d1561c8c81d564dab9366b9,[1],3.832860582454276e+20
0cc05e3d-4172-42b3-9568-3fd4c32d39a0,2022-01-16 22:23:10.564205,14017320.0,0x00000000726422a6fecb4759b44d47e48cf746aa,0x4e0e9972efadd7e54967fdff100133811b28d1f7fe91dad0d2ef33762eb3bf3d,[1],0x9e393339dca7f75bfe932d07a738263670727a71a1afa6a1882d71ddccfe9092,[1],4.037572585887184e+16
5f274c8b-598a-4350-a97e-e9d59c5ff875,2022-01-16 22:23:31.180464,14017340.0,0x00000000003b3cc22af3ae1eac0440bcee416b40,0xa847e50811a06c9f89603c9a78f4c4673d9f66a3288251812fbce1e2a07bd67b,[1],0x471f2c95ee271d33f7c9bc151e7fe5e865c82763798cb711aa8135e590387425,[1],9.671989325201408e+16
bf38b805-e8a5-4d1b-9940-87f059fa6e2e,2022-01-16 22:23:35.479293,14017348.0,0x7cf09d7a9a74f746edcb06949b9d64bcd9d1604f,0x344692d9fcc5c43e4f99be075dc05d9702ebf3da84541001714d424a101171ed,[1],0x2ab28f29d2848a1af5d0ffd4478ddc1508db82868636e296ddf1113f09a59ee4,[1],1.6615377337319424e+16
f8a14986-82c9-413c-ace5-ccaaa3d051b4,2022-01-16 22:23:35.479293,14017353.0,0x0000000000d41c96294ccdac8612bdfe29c641af,0x0adb9ae51d1a3441c9dc9e4075b9b0670c63c62c5b0be89fb3f5df326cd668c7,[1],0x1c624acb1ae90561de67d5bb3d2ed92dcbebdf083f895ab9712ca248c7ac7b9f,[1],3.2428247731201636e+16
24255fd2-f730-4ad5-af72-11f56be77c87,2022-01-16 22:23:44.406796,14017364.0,0x0000000000d41c96294ccdac8612bdfe29c641af,0x41f9d417fbba3e4d56f50fd4d7f37b90e9fa5154465b00d0a36c08e4936f8de8,[1],0x675a8127115ce34214f87629c3cd55727633ee890cf98cebaba18520742fe08d,[1],1.1493573331788418e+17
3b6d812b-2c83-471b-8778-7ea01d469d5b,2022-01-16 22:23:44.406796,14017364.0,0x0000000099cb7fc48a935bceb9f05bbae54e8987,0xde84099e9391c8c0af06a2781071a7bbec1fee77426083774dc36b6745c934bd,[0],0x89377909abd94be7d65b14f9c674d3ee16ee08576aa9a675c13a8a1edafc7a47,[0],92733093.0
559ee19e-0d16-432e-832e-5e1360790531,2022-01-16 22:23:54.232489,14017366.0,0x000000000035b5e5ad9019092c665357240f594e,0xfe311ee99ab6268c9b10664fb148cebb21e4266bc10d49a399b055d171b03513,[1],0x726b9a4bc3c9908c2b43ae0ce3ca8e28fb4179c366fe206d9fa1f0442b6bba8f,[1],1.6965277576518324e+16
